"","location","ele","time","name","date","species.code","sex..M.F.","age.pelage..J.A.S.","Rat.ID","left.eartag","right.eartag","RFID","new.animal...Y.N.","total.mass..g.","female..perforate..partially.perforate..imperforate.","female.nipple.size..S.M.L.","pregnant...Y.N.Possibly.","fleas","ticks","male..scrotal..nonscrotal.","Notes","X","X.1","X.2","date_index","year","rat_id_index","coords.x1","coords.x2","optional"
"64","WC06",174.445938,"2013/04/22 16:59:45+00","WC06",2018-08-26,"NeFu","M","S",307,"0307","","003D2D25FD","N",160,"","","","Y","N","NS","Back into house",NA,"",NA,47,2018,16,-122.154735988006,38.5020680353045,TRUE
"65","WC06",174.445938,"2013/04/22 16:59:45+00","WC06",2019-07-28,"NeFu","F","A",314,"0314","","0015C465DE","N",221,"I","S","N","N","N","","climbed up tree uphill from nest",NA,"",NA,53,2019,19,-122.154735988006,38.5020680353045,TRUE
"66","WC07",186.132919,"2013/04/22 16:59:45+00","WC07",2012-07-25,"Nefu","M","A",5539,"","5539","1B79702458","N",285,"","","","","","NS","",NA,"",NA,2,2012,60,-122.15455301106,38.5019790194929,TRUE
"67","WC07",186.132919,"2013/04/22 16:59:45+00","WC07",2013-06-16,"Nefu","M","S",5768,"5768","","1B79702B9D","Y",165,"","","","N","N","NS","",NA,"",NA,9,2013,91,-122.15455301106,38.5019790194929,TRUE
"68","WC08",182.436218,"2013/04/22 16:59:45+00","WC08",2018-06-03,"NeFu","F","A",5766,"5766/0384","","0015C465A3","N",180,"P","M","N","N","N","","half of tail gone; wound on left side under tail; went into house",NA,"",NA,40,2018,90,-122.154596010223,38.5020289756358,TRUE
"69","WC08",182.436218,"2013/04/22 16:59:45+00","WC08",2019-09-22,"NeFu","M","S",339,"0339","","003D2D2607","Y",130,"","","","Y","N","NS","went towards WC06",NA,"",NA,56,2019,24,-122.154596010223,38.5020289756358,TRUE
"70","WC08",182.436218,"2013/04/22 16:59:45+00","WC08",2018-08-19,"NeFu","M","S",307,"0307","","003D2D25FD","N",155,"","","","N","N","NS","Ear tag is slightly mish-shapen but ok; did not go back into house; went up a tree branch westward",NA,"",NA,46,2018,16,-122.154596010223,38.5020289756358,TRUE
"71","WC08",182.436218,"2013/04/22 16:59:45+00","WC08",2019-08-25,"NeFu","F","A",314,"0314","","0015C465DE","N",200,"I","M","N","N","N","","",NA,"",NA,54,2019,19,-122.154596010223,38.5020289756358,TRUE
"72","WC08",182.436218,"2013/04/22 16:59:45+00","WC08",2017-07-09,"Nefu","F","A",5766,"5766/0384","","0015C465A3","N",148,"I","S","N","Y","N","","NEW PIT TAG, RAN INTO HOUSE",NA,"",NA,34,2017,90,-122.154596010223,38.5020289756358,TRUE
"73","WC08",182.436218,"2013/04/22 16:59:45+00","WC08",2018-08-03,"NeFu","M","S",307,"0307","","003D2D25FD","N",155,"","","","Y","N","NS","went back into house; RFID in bag (003D2D25C1)",NA,"",NA,45,2018,16,-122.154596010223,38.5020289756358,TRUE
"74","WC08",182.436218,"2013/04/22 16:59:45+00","WC08",2017-05-15,"Nefu","F","J",5766,"5766","","","Y",100,"I","S","N","Y","N","","ran towards 8B",NA,"",NA,32,2017,90,-122.154596010223,38.5020289756358,TRUE
"75","WC08",182.436218,"2013/04/22 16:59:45+00","WC08",2012-09-06,"Nefu","F","A",5761,"5761","","1B797026FF","N",220,"I","S","N","","","","Fleas, short tail (cut off?) Pit tag lost since last caputure. New pit tag issued.",NA,"",NA,4,2012,87,-122.154596010223,38.5020289756358,TRUE
"76","WC08",182.436218,"2013/04/22 16:59:45+00","WC08",2018-09-23,"NeFu","M","A",307,"0307","","003D2D25FD","N",184,"","","","Y","N","NS","Went into house",NA,"",NA,48,2018,16,-122.154596010223,38.5020289756358,TRUE
"77","WC08",182.436218,"2013/04/22 16:59:45+00","WC08",2016-06-11,"Nefu","F","A",6397,"","6397","1B797025C4","N",180,"P","L","N","","N","NS","squeaking",NA,"",NA,27,2016,156,-122.154596010223,38.5020289756358,TRUE
"78","WC08",182.436218,"2013/04/22 16:59:45+00","WC08",2013-05-19,"Nefu","F","A",5773,"5773","","1B79701B55","Y",185,"I","M","","N","N","","",NA,"",NA,8,2013,94,-122.154596010223,38.5020289756358,TRUE
"79","WC08B",186.717072,"2013/04/30 17:33:18+00","WC08B",2013-07-27,"Nefu","F","A",5773,"5773","","1B79701B55","N",190,"I","M","N","N","","","",NA,"",NA,11,2013,94,-122.15452702716,38.5021060053259,TRUE
"80","WC08B",186.717072,"2013/04/30 17:33:18+00","WC08B",2018-05-06,"NeFu","F","A",5766,"5766/0384","","0015C465A3","N",180,"P","L","N","N","N","","5766 old eartag lost. New eartag 0384. Missing tail tip. Released at 8B but headed west along branches.",NA,"",NA,39,2018,90,-122.15452702716,38.5021060053259,TRUE
"81","WC08C",173.386658,"2013/04/30 17:33:18+00","WC08C",2019-06-02,"NeFu","F","A",314,"0314","","0015C465DE","N",187,"P","L","N","Y","N","","old radio collar taken off",NA,"",NA,51,2019,19,-122.154458966106,38.502285964787,TRUE
"82","WC08C",173.386658,"2013/04/30 17:33:18+00","WC08C",2019-09-22,"NeFu","F","A",188,"0188","","003D2D2621","N",167,"I","S","N","Y","N","","went into house",NA,"",NA,56,2019,10,-122.154458966106,38.502285964787,TRUE
"83","WC08C",173.386658,"2013/04/30 17:33:18+00","WC08C",2017-08-06,"Nefu","F","S",5522,"5522","","0015C465C4","N",110,"I","S","N","Y","N","","white tail tip, ran back into house",NA,"",NA,36,2017,51,-122.154458966106,38.502285964787,TRUE
"84","WC08C",173.386658,"2013/04/30 17:33:18+00","WC08C",2013-08-31,"Nefu","M","A",5529,"5529","","1B79701628","N",260,"","","","N","N","NS","",NA,"",NA,14,2013,53,-122.154458966106,38.502285964787,TRUE
"85","WC08C",173.386658,"2013/04/30 17:33:18+00","WC08C",2019-06-02,"NeFu","F","J",188,"0188","","","Y",100,"I","S","N","Y","N","","did not PIT tag, too small",NA,"",NA,51,2019,10,-122.154458966106,38.502285964787,TRUE
"86","WC08C",173.386658,"2013/04/30 17:33:18+00","WC08C",2019-07-28,"NeFu","F","J",188,"0188","","003D2D2621","N",131,"I","S","N","Y","N","","went under dead tree",NA,"",NA,53,2019,10,-122.154458966106,38.502285964787,TRUE
